URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount %,Discount offer,Discount price
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-printed-cotton-t-shirt/17385186/buy,17385186,Roadster,Western,tshirts,Women,roadster women pack of 2 printed cotton t shirt,,1398,"XS, S, M, L, XL",4.4,561,50,699,699
https://www.myntra.com/tshirts/roadster/roadster-women-rust-brown--black-pack-of-2-printed-round-neck-regular-fit-t-shirts/17383110/buy,17383110,Roadster,Western,tshirts,Women,roadster women rust brown  black pack of 2 printed round neck regular fit t shirts,,1498,"M, S, XS, XL, L",4.4,561,50,749,749
https://www.myntra.com/tops/purys/purys-cream-coloured-floral-square-neck-shirt-style-top/12490556/buy,12490556,PURYS,Western,tops,Women,purys cream coloured floral square neck shirt style top,,1499,"S, M, L, XL",4.1,561,57,854,645
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-pure-cotton-printed-t-shirts/17383678/buy,17383678,Roadster,Western,tshirts,Women,roadster women pack of 2 pure cotton printed t shirts,,1598,"L, M, S, XS, XL",4.3,561,50,799,799
https://www.myntra.com/jeans/mast--harbour/mast--harbour-women-blue-skinny-fit-high-rise-clean-look-stretchable-cropped-jeans/12310144/buy,12310144,Mast & Harbour,Western,jeans,Women,mast  harbour women blue skinny fit high rise clean look stretchable cropped jeans,,1899,"26, 28, 30, 32, 34, 36",4.1,561,35,664,1234
https://www.myntra.com/tshirts/mast--harbour/mast--harbour-women-navy-blue--white-striped-round-neck-t-shirt/2490936/buy,2490936,Mast & Harbour,Western,tshirts,Women,mast  harbour women navy blue  white striped round neck t shirt,,799,"XS, S, M, L, XL",4.3,561,50,399,400
https://www.myntra.com/briefs/xyxx/xyxx-men-pack-of-3-assorted-solid-intellisoft-antimicrobial-basic-briefs-xybrf3pckn491/13978304/buy,13978304,XYXX,Inner Wear &  Sleep Wear,briefs,Men,xyxx men pack of 3 assorted solid intellisoft antimicrobial basic briefs xybrf3pckn491,675,747,"S, M, L, XL, XXL",4.3,560,10,74,672
https://www.myntra.com/shirts/locomotive/locomotive-men-green--off-white-slim-fit-printed-casual-shirt/13919956/buy,13919956,LOCOMOTIVE,Topwear,shirts,Men,locomotive men green  off white slim fit printed casual shirt,549,1249,"39, 40, 42, 44",4.3,560,56,699,550
https://www.myntra.com/sweatshirts/campus-sutra/campus-sutra-men-navy-blue--grey-colourblocked-hooded-sweatshirt/10405887/buy,10405887,Campus Sutra,Topwear,sweatshirts,Men,campus sutra men navy blue  grey colourblocked hooded sweatshirt,816,1899,"S, M, L, XL",4,560,57,1082,817
https://www.myntra.com/kurtas/ahika/ahika-women-green--beige-printed-straight-kurta/11547700/buy,11547700,AHIKA,Indian Wear,kurtas,Women,ahika women green  beige printed straight kurta,441,960,"XS, S, M, L, XL, XXL, 3XL, 4XL",4,560,54,518,442
https://www.myntra.com/briefs/dollar-missy/dollar-missy-women-pack-of-10-briefs-201s-oe/2190889/buy,2190889,Dollar Missy,Lingerie & Sleep Wear,briefs,Women,dollar missy women pack of 10 briefs 201s oe,929,1430,"XS, S, M, L, XL, XXL",4.1,560,35,500,930
https://www.myntra.com/bra/clovia/clovia-cotton-rich-non-padded-front-open-plunge-bra/1794930/buy,1794930,Clovia,Lingerie & Sleep Wear,bra,Women,clovia cotton rich non padded front open plunge bra,,599,"32B, 32C, 32D, 34B, 34C, 34D, 36B, 36C, 36D, 38B, 38C, 40B, 40C",3.8,560,44,263,335
https://www.myntra.com/kurtas/extra-love-by-libas/extra-love-by-libas-plus-size-women-navy-blue--beige-ethnic-motifs-keyhole-neck-kurta/12729004/buy,12729004,EXTRA LOVE BY LIBAS,Plus Size,kurtas,Women,extra love by libas plus size women navy blue  beige ethnic motifs keyhole neck kurta,584,1499,"3XL, 4XL, 5XL, 6XL",4.5,560,61,914,585
https://www.myntra.com/tops/carlton-london/carlton-london-pink--black-snake-print-top/11524104/buy,11524104,Carlton London,Western,tops,Women,carlton london pink  black snake print top,,1299,"S, M, L, XL",4.3,560,52,675,624
https://www.myntra.com/shirts/roadster/roadster-women-lavender-solid-casual-shirt/14615028/buy,14615028,Roadster,Western,shirts,Women,roadster women lavender solid casual shirt,,1299,"XS, S, M, L, XL",4.3,560,55,714,585
https://www.myntra.com/tshirts/roadster/roadster-women-dusty-pink--maroon-pack-of-2-typography-print-pure-cotton-t-shirts/17382916/buy,17382916,Roadster,Western,tshirts,Women,roadster women dusty pink  maroon pack of 2 typography print pure cotton t shirts,,1598,"L, M, S, XS, XL",4.2,560,50,799,799
https://www.myntra.com/dresses/mast--harbour/mast--harbour-red--white-floral-print-a-line-dress/12204476/buy,12204476,Mast & Harbour,Western,dresses,Women,mast  harbour red  white floral print a line dress,,1799,"XS, S, M, L, XL",4.3,560,45,809,989
https://www.myntra.com/tops/campus-sutra/campus-sutra-women-maroon-printed-top/4323238/buy,4323238,Campus Sutra,Western,tops,Women,campus sutra women maroon printed top,,799,"S, M, L, XL",4,560,55,439,360
https://www.myntra.com/tops/dressberry/dressberry-women-navy-blue-colourblocked-top/9044831/buy,9044831,DressBerry,Western,tops,Women,dressberry women navy blue colourblocked top,,799,"XS, S, M, L, XL",3.9,560,60,479,320
